time at 532nm	frame at 532nm	I_1 at 532nm(counts)	discr.I_1 at 532nm(counts)	I_2 at 532nm(counts)	discr.I_2 at 532nm(counts)	time at 638nm	frame at 638nm	I_1 at 638nm(counts)	discr.I_1 at 638nm(counts)	I_2 at 638nm(counts)	discr.I_2 at 638nm(counts)	time at 532nm	frame at 532nm	FRET_1>2	discr.FRET_1>2	time at 532nm	frame at 532nm	S_1>2	discr.S_1>2	
5.000000e-02	1	3.095000e+02	7.244669e+02	5309	6.126249e+03	1.000000e-01	2	0	0	5613	7.657979e+03	5.000000e-02	1	9.449141e-01	8.942495e-01	5.000000e-02	1	5.002448e-01	4.721800e-01	
1.500000e-01	3	2.451000e+02	7.244669e+02	6294	6.126249e+03	2.000000e-01	4	0	0	8320	7.657979e+03	1.500000e-01	3	9.625178e-01	8.942495e-01	1.500000e-01	3	4.400738e-01	4.721800e-01	
2.500000e-01	5	1370	7.244669e+02	5916	6.126249e+03	3.000000e-01	6	0	0	6730	7.657979e+03	2.500000e-01	5	8.119682e-01	8.942495e-01	2.500000e-01	5	5.198345e-01	4.721800e-01	
3.500000e-01	7	1318	7.244669e+02	6565	6.126249e+03	4.000000e-01	8	0	0	7038	7.657979e+03	3.500000e-01	7	8.328048e-01	8.942495e-01	3.500000e-01	7	5.283158e-01	4.721800e-01	
4.500000e-01	9	636	7.244669e+02	8699	6.126249e+03	5.000000e-01	10	0	0	6451	7.657979e+03	4.500000e-01	9	9.318693e-01	8.942495e-01	4.500000e-01	9	5.913468e-01	4.721800e-01	
5.500000e-01	11	1134	7.244669e+02	5676	6.126249e+03	6.000000e-01	12	0	0	6484	7.657979e+03	5.500000e-01	11	8.334802e-01	8.942495e-01	5.500000e-01	11	5.122612e-01	4.721800e-01	
6.500000e-01	13	8.245000e+02	7.244669e+02	5291	6.126249e+03	7.000000e-01	14	0	0	8715	7.657979e+03	6.500000e-01	13	8.651786e-01	8.942495e-01	6.500000e-01	13	4.123597e-01	4.721800e-01	
7.500000e-01	15	1.832000e+02	7.244669e+02	4810	6.126249e+03	8.000000e-01	16	0	0	7030	7.657979e+03	7.500000e-01	15	9.633101e-01	8.942495e-01	7.500000e-01	15	4.152971e-01	4.721800e-01	
8.500000e-01	17	7.336000e+02	7.244669e+02	4338	6.126249e+03	9.000000e-01	18	0	0	6560	7.657979e+03	8.500000e-01	17	8.553514e-01	8.942495e-01	8.500000e-01	17	4.360191e-01	4.721800e-01	
9.500000e-01	19	2.982000e+02	7.244669e+02	6053	6.126249e+03	1	20	0	0	9401	7.657979e+03	9.500000e-01	19	9.530482e-01	8.942495e-01	9.500000e-01	19	4.031945e-01	4.721800e-01	
1.050000e+00	21	790	7.244669e+02	6396	6.126249e+03	1.100000e+00	22	0	0	7826	7.657979e+03	1.050000e+00	21	8.900640e-01	8.942495e-01	1.050000e+00	21	4.786837e-01	4.721800e-01	
1.150000e+00	23	4.216000e+01	7.244669e+02	5250	6.126249e+03	1.200000e+00	24	0	0	6952	7.657979e+03	1.150000e+00	23	9.920335e-01	8.942495e-01	1.150000e+00	23	4.322191e-01	4.721800e-01	
1.250000e+00	25	1305	7.244669e+02	5637	6.126249e+03	1.300000e+00	26	0	0	7214	7.657979e+03	1.250000e+00	25	8.120138e-01	8.942495e-01	1.250000e+00	25	4.903928e-01	4.721800e-01	
1.350000e+00	27	-1.167000e+02	7.244669e+02	5629	6.126249e+03	1.400000e+00	28	0	0	8310	7.657979e+03	1.350000e+00	27	1.021171e+00	8.942495e-01	1.350000e+00	27	3.987976e-01	4.721800e-01	
1.450000e+00	29	1391	7.244669e+02	6131	6.126249e+03	1.500000e+00	30	0	0	7037	7.657979e+03	1.450000e+00	29	8.150758e-01	8.942495e-01	1.450000e+00	29	5.166564e-01	4.721800e-01	
1.550000e+00	31	8.024000e+02	7.244669e+02	4150	6.126249e+03	1.600000e+00	32	0	0	8423	7.657979e+03	1.550000e+00	31	8.379775e-01	8.942495e-01	1.550000e+00	31	3.702618e-01	4.721800e-01	
1.650000e+00	33	-3.471000e+02	7.244669e+02	6336	6.126249e+03	1.700000e+00	34	0	0	8549	7.657979e+03	1.650000e+00	33	1.057957e+00	8.942495e-01	1.650000e+00	33	4.119508e-01	4.721800e-01	
1.750000e+00	35	3.581000e+02	7.244669e+02	6516	6.126249e+03	1.800000e+00	36	0	0	7413	7.657979e+03	1.750000e+00	35	9.479059e-01	8.942495e-01	1.750000e+00	35	4.811403e-01	4.721800e-01	
1.850000e+00	37	4.703000e+02	7.244669e+02	4384	6.126249e+03	1.900000e+00	38	0	0	8000	7.657979e+03	1.850000e+00	37	9.031168e-01	8.942495e-01	1.850000e+00	37	3.776402e-01	4.721800e-01	
1.950000e+00	39	1.842000e+02	7.244669e+02	6112	6.126249e+03	2	40	0	0	8725	7.657979e+03	1.950000e+00	39	9.707443e-01	8.942495e-01	1.950000e+00	39	4.191543e-01	4.721800e-01	
2.050000e+00	41	8.898000e+02	7.244669e+02	5471	6.126249e+03	2.100000e+00	42	0	0	7745	7.657979e+03	2.050000e+00	41	8.601119e-01	8.942495e-01	2.050000e+00	41	4.509351e-01	4.721800e-01	
2.150000e+00	43	1086	7.244669e+02	6241	6.126249e+03	2.200000e+00	44	0	0	7357	7.657979e+03	2.150000e+00	43	8.517811e-01	8.942495e-01	2.150000e+00	43	4.989785e-01	4.721800e-01	
2.250000e+00	45	3.715000e+02	7.244669e+02	7492	6.126249e+03	2.300000e+00	46	0	0	7236	7.657979e+03	2.250000e+00	45	9.527564e-01	8.942495e-01	2.250000e+00	45	5.207788e-01	4.721800e-01	
2.350000e+00	47	1.281000e+02	7.244669e+02	5303	6.126249e+03	2.400000e+00	48	0	0	9649	7.657979e+03	2.350000e+00	47	9.764136e-01	8.942495e-01	2.350000e+00	47	3.601501e-01	4.721800e-01	
2.450000e+00	49	1123	7.244669e+02	6530	6.126249e+03	2.500000e+00	50	0	0	9995	7.657979e+03	2.450000e+00	49	8.532602e-01	8.942495e-01	2.450000e+00	49	4.336469e-01	4.721800e-01	
2.550000e+00	51	5.306000e+02	7.244669e+02	5955	6.126249e+03	2.600000e+00	52	0	0	6851	7.657979e+03	2.550000e+00	51	9.181880e-01	8.942495e-01	2.550000e+00	51	4.863009e-01	4.721800e-01	
2.650000e+00	53	5.049000e+02	7.244669e+02	7026	6.126249e+03	2.700000e+00	54	0	0	7048	7.657979e+03	2.650000e+00	53	9.329562e-01	8.942495e-01	2.650000e+00	53	5.165616e-01	4.721800e-01	
2.750000e+00	55	1261	7.244669e+02	6216	6.126249e+03	2.800000e+00	56	0	0	8076	7.657979e+03	2.750000e+00	55	8.313495e-01	8.942495e-01	2.750000e+00	55	4.807433e-01	4.721800e-01	
2.850000e+00	57	9.668000e+02	7.244669e+02	6553	6.126249e+03	2.900000e+00	58	0	0	7586	7.657979e+03	2.850000e+00	57	8.714328e-01	8.942495e-01	2.850000e+00	57	4.978088e-01	4.721800e-01	
2.950000e+00	59	-5.947000e+01	7.244669e+02	6351	6.126249e+03	3	60	0	0	8181	7.657979e+03	2.950000e+00	59	1.009452e+00	8.942495e-01	2.950000e+00	59	4.347222e-01	4.721800e-01	
3.050000e+00	61	8.698000e+02	7.244669e+02	5856	6.126249e+03	3.100000e+00	62	0	0	9074	7.657979e+03	3.050000e+00	61	8.706771e-01	8.942495e-01	3.050000e+00	61	4.256889e-01	4.721800e-01	
3.150000e+00	63	5.156000e+02	7.244669e+02	5116	6.126249e+03	3.200000e+00	64	0	0	5039	7.657979e+03	3.150000e+00	63	9.084452e-01	8.942495e-01	3.150000e+00	63	5.277679e-01	4.721800e-01	
3.250000e+00	65	9.815000e+02	7.244669e+02	4763	6.126249e+03	3.300000e+00	66	0	0	5835	7.657979e+03	3.250000e+00	65	8.291409e-01	8.942495e-01	3.250000e+00	65	4.960922e-01	4.721800e-01	
3.350000e+00	67	2.153000e+02	7.244669e+02	6969	6.126249e+03	3.400000e+00	68	0	0	6706	7.657979e+03	3.350000e+00	67	9.700319e-01	8.942495e-01	3.350000e+00	67	5.172171e-01	4.721800e-01	
3.450000e+00	69	1195	7.244669e+02	5876	6.126249e+03	3.500000e+00	70	0	0	7963	7.657979e+03	3.450000e+00	69	8.309999e-01	8.942495e-01	3.450000e+00	69	4.703339e-01	4.721800e-01	
3.550000e+00	71	3.993000e+02	7.244669e+02	6982	6.126249e+03	3.600000e+00	72	0	0	6656	7.657979e+03	3.550000e+00	71	9.459038e-01	8.942495e-01	3.550000e+00	71	5.258347e-01	4.721800e-01	
3.650000e+00	73	1.898000e+02	7.244669e+02	6837	6.126249e+03	3.700000e+00	74	0	0	6987	7.657979e+03	3.650000e+00	73	9.729891e-01	8.942495e-01	3.650000e+00	73	5.014200e-01	4.721800e-01	
3.750000e+00	75	-9.415000e+02	7.244669e+02	7338	6.126249e+03	3.800000e+00	76	0	0	7281	7.657979e+03	3.750000e+00	75	1.147190e+00	8.942495e-01	3.750000e+00	75	4.676659e-01	4.721800e-01	
3.850000e+00	77	5.307000e+02	7.244669e+02	4814	6.126249e+03	3.900000e+00	78	0	0	8499	7.657979e+03	3.850000e+00	77	9.007054e-01	8.942495e-01	3.850000e+00	77	3.860745e-01	4.721800e-01	
3.950000e+00	79	4.220000e+01	7.244669e+02	5640	6.126249e+03	4	80	0	0	7389	7.657979e+03	3.950000e+00	79	9.925733e-01	8.942495e-01	3.950000e+00	79	4.347114e-01	4.721800e-01	
4.050000e+00	81	5240	4.520287e+03	3436	3.896527e+03	4.100000e+00	82	0	0	7271	7.657979e+03	4.050000e+00	81	3.960350e-01	4.629456e-01	4.050000e+00	81	5.440522e-01	5.236033e-01	
